"203","11","34","Permanent Easement","1"
"204","11","34","Other - Please specify in text box","4"
"205","11","36","No Methods Required","1"
"206","11","35","Road widening","3"
"207","11","35","Other - Please specify in text box","5"
"208","9","17","Mechanical","5"
"209","10","33","Planting","7"
"210","10","33","Drill seeding","6"
"211","10","33","Aerial seeding","1"
"212","10","33","Broadcast seeding","2"
"213","10","33","Unknown","8"
"214","10","32","Masticating","5"
"215","10","32","Hauling off-site","4"
"216","10","32","Burning","1"
"217","10","30","Aerial herbicide","1"
"218","10","30","Ground herbicide","3"
"219","10","30","Biological","2"
"220","10","30","Prescribed fire","4"
"221","10","30","Targeted grazing","5"
"222","10","30","Unknown","6"
"223","10","38","Aerial herbicide","1"
"224","10","38","Ground herbicide","3"
"225","10","38","Biological","2"
"226","10","38","Prescribed fire","4"
"227","10","39","In-channel structure","7"
"228","10","39","Channel adjustment/augmentation","4"
"229","10","39","Channel relocation","5"
"230","10","39","Bank modification","1"
"231","10","39","Bioengineering","3"
"232","10","39","Unknown","12"
"233","10","39","Planting","10"
"234","10","39","Pasture rest","9"
"235","10","39","Ungulate exclusion","11"
"236","10","39","Livestock exclusion","8"
"237","10","39","Bioengineered bank protection","2"
"238","10","39","Fill dugout","6"
"239","10","31","Permanent area closure","1"
"240","10","31","Seasonal area closure","2"
"241","10","31","Temporary area closure","3"
"242","5","24","Exclusionary fencing","2"
"243","5","24","Seasonal use changes","5"
"244","5","24","Rest and rotation","4"
"245","5","24","Deferment","1"
"246","5","24","Managing livestock access to water","3"
"247","7","27","Permanent road/trail closure","1"
"248","7","27","Temporary road/trail closure","3"
"249","7","26","No Methods Required","1"
"250","4","22","Monopole design","2"
"251","4","22","Change other design features","1"
"252","4","21","No Methods Required","1"
"253","4","23","No Methods Required","1"
"254","4","18","No Methods Required","1"
"255","4","19","Changing fencing material","1"
"256","4","19","Lay-Down fencing","2"
"257","4","20","No Methods Required","1"
"258","8","29","Administered prophylaxis to horses","1"
"259","8","29","Other - Please specify in text box","3"
"260","8","28","No Methods Required","1"
"261","6","25","No Methods Required","1"
"262","11","34","Term Easement","2"
"263","11","35","Brown strip (vegetation removal)","1"
"264","11","35","Green strip (planting)","2"
"265","11","35","Unknown","4"
"266","9","17","Hand thinning","2"
"267","9","17","Lop and Scatter","3"
"268","9","17","Chaining","1"
"269","9","17","Mastication","4"
"270","9","17","Prescribed fire","6"
"271","9","17","Unknown","7"
"272","9","17","Other - Please specify in text box","8"
"273","10","33","Chaining","4"
"274","10","33","Chemical","5"
"275","10","33","Burning","3"
"276","10","33","Other - Please specify in text box","9"
"277","10","32","Chaining","2"
"278","10","32","Chemical","3"
"279","10","32","Unknown","6"
"280","10","32","Other - Please specify in text box","7"
"281","10","30","Other - Please specify in text box","7"
"282","10","38","Targeted grazing","5"
"283","10","38","Unknown","6"
"284","10","38","Other - Please specify in text box","7"
"285","10","39","Other - Please specify in text box","13"
"286","10","37","Planting","4"
"287","10","37","Drill seeding","3"
"288","10","37","Aerial seeding","1"
"289","10","37","Broadcast seeding","2"
"290","10","37","Unknown","5"
"291","10","37","Other - Please specify in text box","6"
292,10,31,"Permanent area closure",1
293,10,31,"Seasonal area closure",2
294,10,31,"Temporary area closure",3
295,10,31,Unknown,4
296,10,31,"Other - Please specify in text box",5
"297","5","24","Unknown","6"
"298","5","24","Other - Please specify in text box","7"
"299","7","27","Seasonal road/trail closure","2"
"300","7","27","Unknown","4"
"301","7","27","Other - Please specify in text box","5"
"302","4","22","Unknown","3"
"303","4","22","Other - Please specify in text box","4"
"304","4","19","Unknown","3"
"305","4","19","Other - Please specify in text box","4"
"306","8","29","Unknown","2"
"307","10","31","Other - Please specify in text box","5"
"308","10","31","Unknown","4"
"309","11","34","Unknown","3"
