id,Activity,SubActivity,Effectiveness_Statement,Ordering
1,"SAGEBRUSH PROTECTION","Conservation Easement","Conservation action considered effective once fully implemented.",1
2,"SAGEBRUSH PROTECTION","Conservation Easement","Conservation action will likely be effective once fully implemented.",2
3,"SAGEBRUSH PROTECTION","Conservation Easement","Conservation action not yet implemented or habitat protections not adequate.",3
4,"SAGEBRUSH PROTECTION","Conservation Easement","Other - Please specify in text box",4
5,"SAGEBRUSH PROTECTION","Land Acquisition","Conservation action considered effective once fully implemented.",1
6,"SAGEBRUSH PROTECTION","Land Acquisition","Conservation action will likely be effective once fully implemented.",2
7,"SAGEBRUSH PROTECTION","Land Acquisition","Conservation action not yet implemented or habitat protections not adequate.",3
8,"SAGEBRUSH PROTECTION","Land Acquisition","Other - Please specify in text box",4
9,"SAGEBRUSH PROTECTION","Fuel Breaks","Effort was shown to be effective in preventing or modifying the rate of spread or intensity of wildfires after the treatment.",1
10,"SAGEBRUSH PROTECTION","Fuel Breaks","Effort reduced fuel bed depth and continuity that may reduce Rate of Spread and Fireline Intensity (EDIT)",2
11,"SAGEBRUSH PROTECTION","Fuel Breaks","Methods used have demonstrated success for influencing fire behavior and/or supporession ability. Cite literature sources and/or technical guidance documents in text box.",3
12,"SAGEBRUSH PROTECTION","Fuel Breaks","Treatment was placed in area identified as high priority, connectivity corridor, limiting seasonal habitat, or other important habitat type",4
13,"SAGEBRUSH PROTECTION","Fuel Breaks","On-going or post-treatment monitoring demonstrated that objectives were not met.",6
14,"SAGEBRUSH PROTECTION","Fuel Breaks","Methodology or techniques used were not successful under the conditions of the treatment.",5
15,"SAGEBRUSH PROTECTION","Fuel Breaks","Other - Please specify in text box",7
16,"RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Techniques for early succession (Phase I) conifer removal (hand thinning, lop and scatter) can be effective in threat reduction upon implementation.",2
17,"RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Post-treatment monitoring demonstrated that objectives were met. Provide supporting documentation in text box or attachment.",1
18,"RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Methods used have demonstrated success for the ecological site potential and current conditions at the site. Cite literature sources and/or technical guidance documents in text box.",4
