203,"SAGEBRUSH PROTECTION","Conservation Easement","Permanent Easement",1
204,"SAGEBRUSH PROTECTION","Conservation Easement","Other - Please specify in text box",4
205,"SAGEBRUSH PROTECTION","Land Acquisition","No Methods Required",1
206,"SAGEBRUSH PROTECTION","Fuel Breaks","Road widening",3
207,"SAGEBRUSH PROTECTION","Fuel Breaks","Other - Please specify in text box",5
208,"RESTORATION: Conifer Removal","Conifer Removal (All Phases)",Mechanical,5
209,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement",Planting,7
210,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Drill seeding",6
211,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Aerial seeding",1
212,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Broadcast seeding",2
213,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement",Unknown,8
214,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management",Masticating,5
215,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management","Hauling off-site",4
216,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management",Burning,1
217,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Aerial herbicide",1
218,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Ground herbicide",3
219,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments",Biological,2
220,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Prescribed fire",4
221,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Targeted grazing",5
222,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments",Unknown,6
223,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Aerial herbicide",1
224,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Ground herbicide",3
225,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments",Biological,2
226,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Prescribed fire",4
227,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","In-channel structure",7
228,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Channel adjustment/augmentation",4
229,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Channel relocation",5
230,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Bank modification",1
231,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration",Bioengineering,3
232,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration",Unknown,12
233,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration",Planting,10
234,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Pasture rest",9
235,"RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Ungulate exclusion",11
