"43","---Select an Agency---","",""
"44","---Select an Office---","",""
"45","Oregon Fish and Wildlife Office","OR","U.S. Fish and Wildlife Service",111
"46","Idaho Fish and Wildlife Office","ID","U.S. Fish and Wildlife Service",111
"47","Washington Fish and Wildlife Office","WA","U.S. Fish and Wildlife Service",111
"48","Idaho Fisheries Resource Office","ID","U.S. Fish and Wildlife Service",111
"49","Mid-Columbia River Fisheries Resource Office","WA","U.S. Fish and Wildlife Service",111
"50","Western Washington Fisheries Resource Office","WA","U.S. Fish and Wildlife Service",111
"51","Columbia River Fisheries Program Office","WA","U.S. Fish and Wildlife Service",111
"52","Colorado Ecological Services Field Office","CO","U.S. Fish and Wildlife Service",111
"53","Montana Ecological Services Field Office","MT","U.S. Fish and Wildlife Service",111
"54","Kalispell Ecological Services Sub-Office","MT","U.S. Fish and Wildlife Service",111
"55","Grizzly Bear Recovery Coordinator","MT","U.S. Fish and Wildlife Service",111
"56","Missouri River Coordinator Office","ND","U.S. Fish and Wildlife Service",111
"57","Wyoming Ecological Services Field Office","WY","U.S. Fish and Wildlife Service",111
"58","Wyoming Ecological Services Sub-Office","WY","U.S. Fish and Wildlife Service",111
"59","North Dakota Ecological Services Field Office","ND","U.S. Fish and Wildlife Service",111
"60","South Dakota Ecological Services Field Office","SD","U.S. Fish and Wildlife Service",111
"61","Upper Colorado River Endangered Fish Recovery Program","CO","U.S. Fish and Wildlife Service",111
"62","Utah Ecological Services Field Office","UT","U.S. Fish and Wildlife Service",111
"63","Western Colorado Ecological Services Field Office","CO","U.S. Fish and Wildlife Service",111
"64","National Black-Footed Ferret Conservation Center","CO","U.S. Fish and Wildlife Service",111
"65","Colorado River Fishery Project-Grand Junction","CO","U.S. Fish and Wildlife Service",111
"66","Northern Rockies Fish and Wildlife Conservation Office","MT","U.S. Fish and Wildlife Service",111
"67","Great Plains Fish and Wildlife Conservation Office","SD","U.S. Fish and Wildlife Service",111
"68","Missouri River Fish and Wildlife Conservation Office","ND","U.S. Fish and Wildlife Service",111
"69","Montana Native Fish Coordinator","MT","U.S. Fish and Wildlife Service",111
"70","Lander Fish and Wildlife Conservation Office","WY","U.S. Fish and Wildlife Service",111
"71","Montana Fish and Wildlife Conservation Office","MT","U.S. Fish and Wildlife Service",111
"72","Utah Fish and Wildlife Conservation Office","UT","U.S. Fish and Wildlife Service",111
"73","Colorado Fish and Wildlife Conservation Office","CO","U.S. Fish and Wildlife Service",111
"74","Colorado River Fishery Project-Vernal","UT","U.S. Fish and Wildlife Service",111
"75","Nevada Fish and Wildlife Office","NV","U.S. Fish and Wildlife Service",111
"76","Carlsbad Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"77","Klamath Falls Fish and Wildlife Office","OR","U.S. Fish and Wildlife Service",111
"78","San Francisco Bay-Delta Fish and Wildlife","CA","U.S. Fish and Wildlife Service",111
"79","Sacramento Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"80","Ventura Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"81","Red Bluff Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"82","Yreka Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"83","Stockton Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"84","Arcata Fish and Wildlife Office","CA","U.S. Fish and Wildlife Service",111
"85","Fort Collins Science Center","CO","U.S. Geological Survey",92
"86","Snake River Field Station","ID","U.S. Geological Survey",1
"87","National Operations Center","CO","Bureau of Land Management",310
"88","DEMONSTRATION USER ACCESS ONLY","NA","NA",111
"89","Lander Field Office","WY","Bureau of Land Management",310
"90","Nevada Department of Conservation and Natural Resources","NV","State",0
"91","Oregon Department of Fish and Wildlife","OR","State",345
