"1","Bureau of Land Management"
"2","Bureau of Reclamation"
"3","Conservation District"
"4","County"
"5","Department of Defense"
"6","Department of Energy"
"7","Local Working Group"
"8","Natural Resource Conservation Service"
"9","National Park Service"
"10","None"
"11","Nongovernmental Organization"
"12","Other"
"13","Private"
"14","State"
"15","Tribe"
"16","U.S. Fish and Wildlife Service"
"17","U.S. Forest Service"
"18","U.S. Geological Survey"
"19","University/Researcher"
"20","Bureau of Indian Affairs"
"21","U.S. Government"
