"1","SAGEBRUSH PROTECTION","Conservation Easement","Effort is already effective"
"2","SAGEBRUSH PROTECTION","Conservation Easement","Effort has a high likelihood of being effective given adequate time"
"3","SAGEBRUSH PROTECTION","Conservation Easement","Effort is uncertain or unlikely to be effective"
"4","SAGEBRUSH PROTECTION","Land Acquisition","Effort is already effective"
"5","SAGEBRUSH PROTECTION","Land Acquisition","Effort has a high likelihood of being effective given adequate time"
"6","SAGEBRUSH PROTECTION","Land Acquisition","Effort is uncertain or unlikely to be effective"
"7","SAGEBRUSH PROTECTION","Fuel Breaks","Effort is already effective (Not applicable for 3 years)"
"8","SAGEBRUSH PROTECTION","Fuel Breaks","Effort has a high likelihood of being effective given adequate time"
"9","SAGEBRUSH PROTECTION","Fuel Breaks","Effort is uncertain or unlikely to be effective"
"10","RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Effort is already effective"
"11","RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Effort is already effective (Not applicable for 3 years)"
"12","RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Effort has a high likelihood of being effective given adequate time"
"13","RESTORATION: Conifer Removal","Conifer Removal (All Phases)","Effort is uncertain or unlikely to be effective"
"14","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Effort is already effective (Not applicable for 3 years)"
"15","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Effort has a high likelihood of being effective given adequate time"
"16","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Vegetation Management / Habitat Enhancement","Effort is uncertain or unlikely to be effective"
"17","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management","Effort is already effective"
"18","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management","Effort is already effective (Not applicable for 3 years)"
"19","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management","Effort has a high likelihood of being effective given adequate time"
"20","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Fuels Management","Effort is uncertain or unlikely to be effective"
"21","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Effort is already effective (Not applicable for 3 years)"
"22","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Effort has a high likelihood of being effective given adequate time"
"23","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Annual Grass Treatments","Effort is uncertain or unlikely to be effective"
"24","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Effort is already effective (Not applicable for 3 years)"
"25","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Effort has a high likelihood of being effective given adequate time"
"26","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Noxious Weed Treatments","Effort is uncertain or unlikely to be effective"
"27","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Effort is already effective (Not applicable for 3 years)"
"28","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Effort has a high likelihood of being effective given adequate time"
"29","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Riparian, Wet Meadow or Spring Restoration","Effort is uncertain or unlikely to be effective"
"30","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Energy development reclamation with the goal of sagebrush restoration","Effort is already effective (Not applicable for 3 years)"
"31","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Energy development reclamation with the goal of sagebrush restoration","Effort has a high likelihood of being effective given adequate time"
