"1","11","34","Conservation action considered effective once fully implemented.","1"
"2","11","34","Conservation action will likely be effective once fully implemented.","2"
"3","11","34","Conservation action not yet implemented or habitat protections not adequate.","3"
"4","11","34","Other - Please specify in text box","4"
"5","11","36","Conservation action considered effective once fully implemented.","1"
"6","11","36","Conservation action will likely be effective once fully implemented.","2"
"7","11","36","Conservation action not yet implemented or habitat protections not adequate.","3"
"8","11","36","Other - Please specify in text box","4"
"9","11","35","Effort was shown to be effective in preventing or modifying the rate of spread or intensity of wildfires after the treatment.","1"
"10","11","35","Effort reduced fuel bed depth and continuity that may reduce Rate of Spread and Fireline Intensity (EDIT)","2"
"11","11","35","Methods used have demonstrated success for influencing fire behavior and/or supporession ability. Cite literature sources and/or technical guidance documents in text box.","3"
"12","11","35","Treatment was placed in area identified as high priority, connectivity corridor, limiting seasonal habitat, or other important habitat type","4"
"13","11","35","On-going or post-treatment monitoring demonstrated that objectives were not met.","6"
"14","11","35","Methodology or techniques used were not successful under the conditions of the treatment.","5"
"15","11","35","Other - Please specify in text box","7"
"16","9","17","Techniques for early succession (Phase I) conifer removal (hand thinning, lop and scatter) can be effective in threat reduction upon implementation.","2"
"17","9","17","Post-treatment monitoring demonstrated that objectives were met. Provide supporting documentation in text box or attachment.","1"
"18","9","17","Methods used have demonstrated success for the ecological site potential and current conditions at the site. Cite literature sources and/or technical guidance documents in text box.","4"
"19","9","17","Implementing party(ies) have committed to maintaining treatment effectiveness as part of an overarching agreement (i.e., CCAA). Describe commitment in text box.","3"
"20","9","17","Post-treatment monitoring is ongoing but results are not yet conclusive.","5"
"21","9","17","Treatment requires follow-up to restore desirable habitat conditions.","6"
"22","9","17","Treatment was placed in area identified as high priority, connectivity corridor, limiting seasonal habitat, or other important habitat type","7"
"23","9","17","On-going or post-treatment monitoring demonstrated that objectives were NOT met.","9"
"24","9","17","Methodology or techniques used were not successful under the conditions of the treatment.","8"
"25","9","17","Other - Please specify in text box","10"
"26","10","33","Post-treatment monitoring demonstrated that objectives were met. Provide supporting documentation in text box or attachment.","2"
"27","10","33","On-going or post-treatment monitoring demonstrated that habitat was restored to desirable conditions. Provide supporting documentation in text box or attachment.","1"
"28","10","33","Post-treatment monitoring is ongoing but has not been established for long enough to determine if treatment is effective.","5"
"29","10","33","Implementing party(ies) have committed to maintaining treatment effectiveness as part of an overarching agreement (i.e., CCAA). Describe commitment in text box.","3"
"30","10","33","Methods used have demonstrated success for the ecological site potential and current conditions at the site. Cite literature sources and/or technical guidance documents in text box.","4"
"31","10","33","Treatment was placed in area identified as high priority, connectivity corridor, limiting seasonal habitat, or other important habitat type","6"
"32","10","33","On-going or post-treatment monitoring demonstrated that objectives were not met.","9"
"33","10","33","Methodology or techniques used were not successful under the conditions of the treatment.","8"
